CD Rank,Colleges
#3,"Fr. Conceicao Rodrigues College of Engineering - [CRCE], Mumbai"
BE Electronics and Computer Engineering,N/A
#4,"MKSSS's Cummins College of Engineering for Women, Pune"
#5,"Thakur College of Engineering and Technology - [TCET], Mumbai"
B.Tech Internet of Things,N/A
#6,"GH Raisoni Law School - [GHRLS], Nagpur"
#7,"Pravara Rural College of Architecture Loni, Ahmednagar"
#8,"Ecole Hoteliere Lavasa, Pune"
#9,"Thakur Shyamnarayan College of Education and Research - [TSCER], Mumbai"
#10,"Pushpanjali College of Education, Palghar"
#1,"Dr. D.Y. Patil Arts, Science and Commerce College Pimpri, Pune"
#2,"Govindrao Wanjari College of Law - [GWCL], Nagpur"
#3,"National Institute of Virology - [NIV], Pune"
#4,"Bharati Vidyapeeth College of Pharmacy - [BVCOP], Kolhapur"
#5,"Hislop College, Nagpur"
#6,"SGS Tuli College of Education, Nagpur"
#7,"Maharashtra Animal and Fishery Sciences University - [MAFSU], Nagpur"
#8,"Mula Society College of Education Sonai, Ahmednagar"
#9,"Chembur Sarvankash Shikshan Shastra Mahavidyalaya - [CSSSM], Mumbai"
#10,"Bombay Veterinary College - [BVC], Mumbai"
BVSc & A.H.,N/A
#1,"Shri Balasaheb Tirpude College Of Hotel Management and Catering Technology, Nagpur"
#2,"Bharatiya Kala Prasarini Sabha's College of Architecture - [BKPS], Pune"
#3,"Gandhi Shikshan Bhavan's Smt Surajba College of Education, Mumbai"
#4,"Aishabai College of Education, Mumbai"
#5,"Asmita College of Architecture, Thane"
#6,"Principal K.M. Kundnani College of Pharmacy - [KMKCP], Mumbai"
#7,"Maeer's Maharashtra Institute of Pharmacy - [MIP], Pune"
#8,"Sinhgad College of Science - [SCOS] Ambegaon, Pune"
#9,"Gramonnati Mandal's Arts, Commerce & Science College - [ACSC] Narayangaon, Pune"
#10,"National Research Centre For Citrus - [NRCC], Nagpur"
#1,"PWS College of Arts & Commerce, Nagpur"
#2,"VES College of Pharmacy (Autonomous) - [VESCOP], Mumbai"
#3,"Bharatiya Jain Sanghatana's Arts, Science and Commerce college - [BJS], Pune"
#4,"Shreemati Nathibai Damodar Thackersey Women's University - [SNDT], Mumbai"
#5,"Dr DY Patil College of Pharmacy Akurdi, Pune"
#6,"Radhika Adhyapak Mahavidyalaya, Nagpur"
#7,"MVP Samaj's College of Pharmacy, Nashik"
#8,"K. J. Somaiya College of Education, Mumbai"
#9,"Modern College of Pharmacy Nigdi, Pune"
#10,"College of Agriculture, Pune"
#1,"Hansraj Jivandas College of Education, Mumbai"
#2,"St Francis De Sales College - [SFS], Nagpur"
#3,"Chhatrapati Shivaji Maharaj College of Education - [CSMCE], Ahmednagar"
#4,"Dr. Panjabrao Deshmukh Krishi Vidyapeeth - [PDKV], Akola"
#5,"Nagrik Shikshan Sanstha College of Education - [NSSCE], Mumbai"
#6,"Central Institute of Cotton Research- [CICR], Nagpur"
#7,"SVKM's Narsee Monjee Institute of Management Studies - [NMIMS University], Navi Mumbai"
#8,"Sinhgad College of Architecture - [SCOA], Pune"
#9,"College of Agricultural Biotechnology, Pune"
#10,"Guru Nanak College of Education And Research - [GNCER], Mumbai"
#1,"Smt. P.N. Doshi Women's College, Mumbai"
#2,"Jyotiba Fule College of Education, Nagpur"
#3,"Poona College of Arts, Science and Commerce - [PCASC], Pune"
#4,"Sardar Patel Mahavidyalaya - [SPM], Chandrapur"
#5,"NIFD Global Andheri, Mumbai"
#6,"Pearl Academy, Mumbai"
#7,"Whistling Woods International - [WWI], Mumbai"
#8,"International Institute of Fashion Design - [INIFD] Ghatkopar, Mumbai"
#9,"FLAME University, Pune"
MBA Communications Management,N/A
#10,"Vishwakarma Institute of Technology, Pune"
#1,"Bharati Vidyapeeth Deemed University, Dental College and Hospital, Sangli"
#2,"St. Francis Institute of Art and Design - [SFIAD], Mumbai"
#3,"International School of Design - [INSD], Mumbai"
#4,"International School of Design - [INSD] Kandivali, Mumbai"
#5,"NAFDI School of Interior Design, Mumbai"
#6,"Indian Institute of Information Technology - [IIIT], Pune"
#7,"Arun Muchhala International College of Hotel Managment - [AMIHMCT], Thane"
#8,"Suryadatta College of Management, Information Research and Technology - [SCMIRT], Pune"
#9,"Thadomal Shahani Engineering College - [TSEC], Mumbai"
BE Chemical Engineering,N/A
#10,"Vidyalankar Institute of Technology - [VIT], Mumbai"
BE Biomedical Engineering,N/A
#1,"Indian Institute of Information Technology - [IIIT], Nagpur"
B.Tech Data Analytics,N/A
B.Tech Human Computer Interaction,N/A
